isbn13,title,author,genre,salesPoint,cover,genre_original,description
9788936434120,소년이 온다,한강 (지은이),소설,359496,https://image.aladin.co.kr/product/4086/97/cover200/8936434128_2.jpg,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,섬세한 감수성과 치밀한 문장으로 인간 존재의 본질을 탐구해온 작가 한강의 여섯번째 장편소설. '상처의 구조에 대한 투시와 천착의 서사'를 통해 한강만이 풀어낼 수 있는 방식으로 1980년 5월을 새롭게 조명한다.
9788925588735,프로젝트 헤일메리,"앤디 위어 (지은이), 강동혁 (옮긴이)",소설,345251,https://image.aladin.co.kr/product/27045/43/cover200/k692135851_3.jpg,국내도서>소설/시/희곡>과학소설(SF)>외국 과학소설,"데뷔작 《마션》과 후속작 《아르테미스》가 연달아 대성공을 거두며 뉴욕 타임스와 아마존 베스트셀러에 이름을 올린 명실상부 최고의 SF 작가, 앤디 위어의 신작. 지구를 구하기 위해서 정작 스스로는 지구로 돌아오지 못할 헤일메리호에 오른 ‘좋은 사람’인 주인공의 이야기가 펼쳐진다."
9791194530701,괴테는 모든 것을 말했다,"스즈키 유이 (지은이), 이지수 (옮긴이)",소설,240457,https://image.aladin.co.kr/product/37676/59/cover200/s612137162_1.jpg,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,"23세 대학원생 스즈키 유이의 첫 장편소설로, 제172회 아쿠타가와상을 수상했다. 일본 언론은 그를 움베르토 에코, 칼비노, 보르헤스에 견주며 “일본 문학의 샛별”이라 극찬했다. 스무 살 남짓한 청년이 쓴 이 작품에서는 고전문학의 풍부한 깊이와 신인만의 참신함이 동시에 느껴진다."
9788937460586,싯다르타,"헤르만 헤세 (지은이), 박병덕 (옮긴이)",소설,231470,https://image.aladin.co.kr/product/32/95/cover200/s062934786_1.jpg,국내도서>소설/시/희곡>독일소설,헤세가 거의 일 년 반 동안 창작이 거의 불가능할 정도로 심한 우울증을 앓다가 정신 치료를 받은 후 발표한 작품이다. 동서양의 정신적 유산을 시적으로 승화한 일종의 종교적 성장소설로 볼 수 있는데 영원을 향한 갈망과 인간의 내면을 깊이 파고드는 초월에 대한 의지를 단순하고도 서정적인 문체로 담아냈다.
9788954682152,작별하지 않는다,한강 (지은이),소설,198590,https://image.aladin.co.kr/product/27877/5/cover200/8954682154_3.jpg,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,2016년 &lt;채식주의자&gt;로 인터내셔널 부커상을 수상하고 2018년 &lt;흰&gt;으로 같은 상 최종 후보에 오른 한강 작가의 5년 만의 장편소설. 2019년 겨울부터 이듬해 봄까지 계간 &lt;문학동네&gt;에 전반부를 연재하며 큰 관심을 모은 작품이다.
9791199305304,자몽살구클럽,한로로 (HANRORO) (지은이),소설,154522,https://image.aladin.co.kr/product/36808/37/cover200/k082030009_1.jpg,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,"싱어송라이터 한로로가 발매할 세 번째 EP 음악 앨범과 연결된 동명의 소설이다. 죽고 싶은 네명의 아이들이 비밀 클럽 '자몽살구클럽'에서 만나 서로를 살리기로 한다. 각자의 모진 삶을 견디기 힘들어 모인 '소하', '태수', '유민', '보현'의 에피소드는 생존이라는 목표 아래 처절하게 전개된다."
9788937473401,급류,정대건 (지은이),소설,130302,https://image.aladin.co.kr/product/30769/24/cover200/8937473402_1.jpg,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,"2020년 《한경신춘문예》에 장편소설 &lt;GV 빌런 고태경&gt;이 당선되어 작품 활동을 시작한 소설가 정대건의 두 번째 장편소설 &lt;급류&gt;가 오늘의 젊은 작가 시리즈 40번으로 출간되었다. &lt;급류&gt;는 저수지와 계곡이 유명한 지방도시 ‘진평’을 배경으로, 열일곱 살 동갑내기인 ‘도담’과 ‘해솔’의 만남과 사랑을 그린 소설이다."
9791192372730,위버멘쉬,"프리드리히 니체 (지은이), 어나니머스 (옮긴이)",인문학,117202,https://image.aladin.co.kr/product/39408/51/cover200/k922139090_1.jpg,국내도서>인문학>인문 에세이,"30만 독자가 선택한 《위버멘쉬》가 완전히 새로워진 개정판으로 돌아왔다. 이 책은 단순히 니체를 해설하는 철학서가 아니다. 타인의 기준과 시선 속에서 흔들리던 인간이, 어떻게 자기 삶의 중심을 되찾을 수 있는지를 묻는 책이다."
9791191114768,단 한 번의 삶,김영하 (지은이),에세이,116657,https://image.aladin.co.kr/product/36114/12/cover200/s602038067_2.jpg,국내도서>에세이>한국에세이,"김영하가 산문 『단 한 번의 삶』을 출간했다. 60만 명이 넘는 독자의 사랑을 받은 『여행의 이유』 이후 6년 만에 선보이는 산문집으로, 유료 이메일 구독 서비스 '영하의 날씨'에 2024년 연재되었던 글을 대폭 수정하고 다듬어 묶었다. '영하의 날씨'는 초기 구독자의 초대로만 가입이 가능한 서비스로 화제를 모으며 연재 당시 뜨거운 호응을 얻었다."
9791124248171,인생을 위한 최소한의 생각,"신영준, 고영성 (지은이)",인문학,116203,https://image.aladin.co.kr/product/38548/11/cover200/k192135753_2.jpg,국내도서>인문학>교양 인문학,시대를 초월해 검증된 거인들의 통찰을 빌려와 삶의 중심을 바로 세워줄 '최소한의 생각'을 제안한다. 화면을 내려놓고 스스로에게 근본적인 질문을 던지는 시간 속에서 우리는 멸종 위기에 처한 생각을 되살리고 삶의 중심을 되찾을 수 있다. 그리고 잃어버렸던 진정한 행복과 마주하게 될 것이다.
